ticker,asof,quintile,composite,close,distPct,rsi,adx,stop,t1,t2,size,signals
GUNKUL.BK,2026-07-09,1,3.2925,4.760000228881836,12.36,80.2,50.8,4.119999885559082,5.40000057220459,5.720000743865967,23436,trend
STECON.BK,2026-07-09,1,3.0896,18.299999237060547,4.23,61.4,40.1,17.399999618530273,19.19999885559082,19.649998664855957,16666,dip|reclaim|trend
TFG.BK,2026-07-09,1,2.3596,10.899999618530273,8.23,64.4,36.0,9.300000190734863,12.499999046325684,13.299998760223389,9375,trend
KCE.BK,2026-07-09,1,1.8911,40.75,5.47,57.2,24.0,36.25,45.25,47.5,3333,reclaim|trend
IRPC.BK,2026-07-09,1,1.7449,1.850000023841858,1.81,53.8,19.9,1.6699999570846558,2.03000009059906,2.120000123977661,83332,trend
KKP.BK,2026-07-09,1,1.6519,103.5,5.71,73.2,58.3,98.25,108.75,111.375,2856,trend
AMATA.BK,2026-07-09,1,1.3947,26.75,1.64,56.5,33.5,25.25,28.25,29.0,9999,reclaim|trend
SCGP.BK,2026-07-09,1,1.0322,28.5,3.65,59.3,45.0,26.5,30.5,31.5,7500,reclaim|trend
KTB.BK,2026-07-09,1,0.9511,40.5,7.22,79.1,52.9,36.25,44.75,46.875,3528,breakout|trend
AOT.BK,2026-07-09,1,0.9181,63.0,2.24,62.2,39.1,61.0,65.0,66.0,7500,trend
STGT.BK,2026-07-09,1,0.8393,10.699999809265137,2.18,54.0,25.5,9.949999809265137,11.449999809265137,11.824999809265137,19999,reclaim|trend
WHA.BK,2026-07-09,1,0.7519,5.099999904632568,0.52,53.8,32.6,4.960000038146973,5.239999771118164,5.309999704360962,107142,reclaim|trend
TOP.BK,2026-07-09,1,0.6887,49.5,2.59,58.7,25.5,44.75,54.25,56.625,3157,trend
BLA.BK,2026-07-09,1,0.6716,27.25,8.56,72.7,43.0,23.899999618530273,30.600000381469727,32.27500057220459,4477,trend
PTTGC.BK,2026-07-09,1,0.6427,34.25,1.55,53.1,15.4,31.25,37.25,38.75,4999,trend
CK.BK,2026-07-09,1,0.6357,19.799999237060547,2.65,57.0,21.9,18.700000762939453,20.89999771118164,21.449996948242188,13635,dip|reclaim|trend
SPRC.BK,2026-07-09,1,0.6223,8.100000381469727,6.73,71.8,26.8,7.099999904632568,9.100000858306885,9.600001096725464,14998,trend
GULF.BK,2026-07-09,2,0.5567,63.0,0.88,52.7,17.7,59.25,66.75,68.625,3332,reclaim|trend
STA.BK,2026-07-09,2,0.5135,18.0,1.73,52.3,23.6,16.5,19.5,20.25,8332,reclaim|trend
BA.BK,2026-07-09,2,0.5084,17.799999237060547,0.35,54.3,39.9,17.0,18.599998474121094,18.999998092651367,15625,reclaim|trend
PRM.BK,2026-07-09,2,0.4545,9.100000381469727,2.87,62.3,19.5,8.649999618530273,9.55000114440918,9.775001525878906,27777,trend
COM7.BK,2026-07-09,2,0.4317,28.25,1.95,57.7,36.5,26.5,30.0,30.875,7142,trend
BGRIM.BK,2026-07-09,2,0.398,19.399999618530273,13.21,79.0,54.2,16.5,22.299999237060547,23.749999046325684,4310,trend
GPSC.BK,2026-07-09,2,0.3743,48.25,7.96,73.0,42.4,42.75,53.75,56.5,2272,trend
TCAP.BK,2026-07-09,2,0.373,72.0,7.65,86.0,57.0,64.75,79.25,82.875,1723,trend
KBANK.BK,2026-07-09,2,0.3515,230.0,5.38,73.9,50.2,213.0,247.0,255.5,735,trend
KTC.BK,2026-07-09,2,0.3398,37.0,9.49,82.0,50.8,32.0,42.0,44.5,2500,trend
TTB.BK,2026-07-09,2,0.1644,2.6600000858306885,7.29,85.1,44.4,2.380000114440918,2.940000057220459,3.0800000429153442,44642,breakout|trend
RATCH.BK,2026-07-09,2,0.1124,35.5,9.36,77.3,33.4,30.25,40.75,43.375,2380,trend
CRC.BK,2026-07-09,2,0.111,23.100000381469727,1.19,56.7,38.1,22.0,24.200000762939453,24.750000953674316,11362,reclaim|trend
BBL.BK,2026-07-09,2,0.0941,196.5,7.28,74.7,44.2,175.0,218.0,228.75,581,breakout|trend
CPN.BK,2026-07-09,2,0.0919,66.5,0.21,52.8,17.9,65.5,67.5,68.0,12500,reclaim|trend
ADVANC.BK,2026-07-09,3,0.0362,379.0,3.61,66.8,24.2,349.0,409.0,424.0,333,trend
MEGA.BK,2026-07-09,3,0.0131,37.25,2.44,59.1,19.3,34.75,39.75,41.0,4000,trend
CENTEL.BK,2026-07-09,3,-0.0057,36.5,1.5,55.6,14.5,34.75,38.25,39.125,5714,reclaim|trend
RCL.BK,2026-07-09,3,-0.0175,32.5,1.75,55.3,31.0,31.25,33.75,34.375,8000,trend
SCB.BK,2026-07-09,3,-0.0379,155.0,5.25,76.9,47.1,143.0,167.0,173.0,833,trend
TOA.BK,2026-07-09,3,-0.0913,15.100000381469727,6.81,68.6,43.4,13.399999618530273,16.80000114440918,17.650001525878906,5882,trend
ICHI.BK,2026-07-09,3,-0.0955,14.399999618530273,4.36,67.7,41.6,13.699999809265137,15.09999942779541,15.449999332427979,14285,trend
TISCO.BK,2026-07-09,3,-0.1608,123.5,4.06,77.8,53.4,116.5,130.5,134.0,1428,trend
BANPU.BK,2026-07-09,3,-0.1681,5.699999809265137,3.48,63.4,17.5,5.199999809265137,6.199999809265137,6.449999809265137,20000,trend
TLI.BK,2026-07-09,3,-0.1683,11.899999618530273,3.66,64.7,25.2,11.100000381469727,12.69999885559082,13.099998474121094,12500,trend
PTTEP.BK,2026-07-09,3,-0.2012,139.0,2.39,54.4,26.7,129.5,148.5,153.25,1052,trend
PTT.BK,2026-07-09,3,-0.2178,37.0,2.51,60.4,17.2,34.5,39.5,40.75,4000,trend
BTG.BK,2026-07-09,3,-0.2262,21.299999237060547,2.45,56.8,24.3,20.0,22.599998474121094,23.249998092651367,7692,trend
TRUE.BK,2026-07-09,3,-0.3474,13.300000190734863,0.5,49.4,25.1,12.600000381469727,14.0,14.349999904632568,14285,reclaim|trend
EGCO.BK,2026-07-09,3,-0.3585,124.0,3.27,61.0,16.9,116.5,131.5,135.25,1333,trend
BCP.BK,2026-07-09,4,-0.369,35.75,4.13,63.8,21.8,32.0,39.5,41.375,1999,trend
SIRI.BK,2026-07-09,4,-0.3737,1.4600000381469727,1.3,56.4,19.6,1.409999966621399,1.5100001096725464,1.5350001454353333,149999,reclaim|trend
BEM.BK,2026-07-09,4,-0.4004,6.050000190734863,2.15,58.8,56.3,5.900000095367432,6.200000286102295,6.275000333786011,49999,reclaim|trend
PLANB.BK,2026-07-09,4,-0.4383,5.099999904632568,11.07,68.9,34.0,4.480000019073486,5.71999979019165,6.029999732971191,12096,breakout|trend
CPALL.BK,2026-07-09,4,-0.5636,47.25,1.03,54.1,16.8,45.0,49.5,50.625,3333,reclaim|trend
