ticker,asof,composite,rank,quintile,mom,trend
GUNKUL.BK,2026-07-13,3.0,1,1,1.8068,0.9284
STECON.BK,2026-07-13,2.9271,2,1,1.9932,0.732
TFG.BK,2026-07-13,2.1437,3,1,1.2515,0.6265
KCE.BK,2026-07-13,2.0739,4,1,0.9122,0.7407
DELTA.BK,2026-07-13,1.7144,5,1,2.465,0.2642
IRPC.BK,2026-07-13,1.5545,6,1,1.3412,0.3619
HANA.BK,2026-07-13,1.5104,7,1,0.8736,0.5395
KKP.BK,2026-07-13,1.4927,8,1,0.9977,0.481
CCET.BK,2026-07-13,1.4234,9,1,0.8495,0.5159
AMATA.BK,2026-07-13,1.4005,10,1,0.8796,0.4946
JMART.BK,2026-07-13,1.0803,11,1,0.3854,0.5767
KTB.BK,2026-07-13,0.9856,12,1,0.7622,0.3834
AOT.BK,2026-07-13,0.8677,13,1,0.9466,0.2612
WHA.BK,2026-07-13,0.8223,14,1,0.5699,0.4004
BLA.BK,2026-07-13,0.7423,15,1,0.6694,0.3282
SCGP.BK,2026-07-13,0.6892,16,1,0.4135,0.4142
BGRIM.BK,2026-07-13,0.6471,17,1,0.4274,0.3922
STGT.BK,2026-07-13,0.6096,18,1,0.857,0.1989
CK.BK,2026-07-13,0.5748,19,1,0.685,0.2571
GULF.BK,2026-07-13,0.5411,20,1,0.678,0.247
STA.BK,2026-07-13,0.5224,21,2,0.6411,0.2551
PTTGC.BK,2026-07-13,0.4876,22,2,0.6735,0.2282
SPRC.BK,2026-07-13,0.4253,23,2,0.527,0.2651
GPSC.BK,2026-07-13,0.4076,24,2,0.4255,0.3006
COM7.BK,2026-07-13,0.4033,25,2,0.5285,0.256
BA.BK,2026-07-13,0.396,26,2,0.4639,0.2801
PRM.BK,2026-07-13,0.3932,27,2,0.5691,0.2353
TOP.BK,2026-07-13,0.3791,28,2,0.6728,0.1867
TCAP.BK,2026-07-13,0.3568,29,2,0.3859,0.2975
KBANK.BK,2026-07-13,0.3103,30,2,0.411,0.2691
KTC.BK,2026-07-13,0.2475,31,2,0.26,0.3077
TTB.BK,2026-07-13,0.2103,32,2,0.3199,0.2684
RATCH.BK,2026-07-13,0.1795,33,2,0.2714,0.2767
AWC.BK,2026-07-13,0.1777,34,2,0.4041,0.2208
JMT.BK,2026-07-13,0.1419,35,2,0.1412,0.3164
SCC.BK,2026-07-13,0.1048,36,2,0.4121,0.1893
BBL.BK,2026-07-13,0.0871,37,2,0.2836,0.236
ERW.BK,2026-07-13,0.0586,38,2,0.3574,0.1943
CRC.BK,2026-07-13,0.0135,39,2,0.2935,0.2035
ADVANC.BK,2026-07-13,-0.0,40,2,0.4308,0.1411
SCB.BK,2026-07-13,-0.0053,41,3,0.2661,0.2076
CPN.BK,2026-07-13,-0.0387,42,3,0.4094,0.1351
PLANB.BK,2026-07-13,-0.074,43,3,-0.1595,0.3583
RCL.BK,2026-07-13,-0.0742,44,3,0.3768,0.135
TISCO.BK,2026-07-13,-0.0997,45,3,0.2543,0.1761
EA.BK,2026-07-13,-0.1459,46,3,0.4107,0.0932
PTTEP.BK,2026-07-13,-0.1473,47,3,0.3626,0.1127
GLOBAL.BK,2026-07-13,-0.1488,48,3,0.3314,0.1251
BANPU.BK,2026-07-13,-0.1576,49,3,0.3919,0.0965
CENTEL.BK,2026-07-13,-0.1578,50,3,0.3373,0.1192
ICHI.BK,2026-07-13,-0.1595,51,3,0.3502,0.1132
TOA.BK,2026-07-13,-0.1628,52,3,0.1641,0.1893
MEGA.BK,2026-07-13,-0.1732,53,3,0.3493,0.1083
BTG.BK,2026-07-13,-0.1789,54,3,0.2139,0.1624
PTT.BK,2026-07-13,-0.1942,55,3,0.2531,0.1402
BH.BK,2026-07-13,-0.202,56,3,0.3493,0.0971
TLI.BK,2026-07-13,-0.2239,57,3,0.1524,0.1706
BCP.BK,2026-07-13,-0.2803,58,3,0.095,0.1728
BEM.BK,2026-07-13,-0.2869,59,3,0.1768,0.1362
TRUE.BK,2026-07-13,-0.2932,60,3,0.2825,0.0898
CBG.BK,2026-07-13,-0.3313,61,4,-0.1848,0.2695
EGCO.BK,2026-07-13,-0.3408,62,4,0.198,0.1065
TIDLOR.BK,2026-07-13,-0.3537,63,4,0.1969,0.1021
IVL.BK,2026-07-13,-0.3849,64,4,0.1332,0.1165
AEONTS.BK,2026-07-13,-0.3857,65,4,0.0783,0.139
SJWD.BK,2026-07-13,-0.4061,66,4,-0.0289,0.1758
PTG.BK,2026-07-13,-0.4581,67,4,0.3332,0.0051
SIRI.BK,2026-07-13,-0.4694,68,4,0.1492,0.0773
OSP.BK,2026-07-13,-0.4798,69,4,0.0591,0.1107
M.BK,2026-07-13,-0.4959,70,4,0.3079,0.001
SAWAD.BK,2026-07-13,-0.5497,71,4,0.2333,0.0113
DOHOME.BK,2026-07-13,-0.5701,72,4,0.0639,0.0739
BCPG.BK,2026-07-13,-0.5754,73,4,0.1427,0.0391
QH.BK,2026-07-13,-0.5858,74,4,0.0752,0.0632
MOSHI.BK,2026-07-13,-0.5875,75,4,-0.0665,0.1215
CHG.BK,2026-07-13,-0.6021,76,4,-0.0126,0.0934
TU.BK,2026-07-13,-0.6286,77,4,0.1827,0.0019
CPALL.BK,2026-07-13,-0.6652,78,4,0.055,0.0409
AURA.BK,2026-07-13,-0.6941,79,4,-0.0104,0.057
CPF.BK,2026-07-13,-0.7126,80,4,-0.0778,0.0779
TASCO.BK,2026-07-13,-0.7138,81,5,0.0585,0.0207
LH.BK,2026-07-13,-0.7259,82,5,0.0656,0.0131
OR.BK,2026-07-13,-0.7355,83,5,0.1084,-0.0084
HMPRO.BK,2026-07-13,-0.7713,84,5,-0.0314,0.0359
AP.BK,2026-07-13,-0.7842,85,5,0.1353,-0.0384
MINT.BK,2026-07-13,-0.7915,86,5,-0.0485,0.0353
BAM.BK,2026-07-13,-0.7927,87,5,-0.0089,0.0184
SPALI.BK,2026-07-13,-0.7949,88,5,0.1179,-0.0353
BDMS.BK,2026-07-13,-0.8465,89,5,-0.0801,0.0272
GFPT.BK,2026-07-13,-0.9254,90,5,-0.0403,-0.0197
AAV.BK,2026-07-13,-1.0448,91,5,-0.0526,-0.0607
MTC.BK,2026-07-13,-1.0463,92,5,-0.1979,-0.0008
BCH.BK,2026-07-13,-1.1444,93,5,-0.2645,-0.011
BJC.BK,2026-07-13,-1.1637,94,5,-0.236,-0.0302
SISB.BK,2026-07-13,-1.1784,95,5,-0.2981,-0.0101
JAS.BK,2026-07-13,-1.2222,96,5,-0.0963,-0.1109
PR9.BK,2026-07-13,-1.2887,97,5,-0.3071,-0.0489
VGI.BK,2026-07-13,-1.3955,98,5,-0.5776,0.0225
BTS.BK,2026-07-13,-1.4066,99,5,-0.4171,-0.0486
JTS.BK,2026-07-13,-1.465,100,5,0.1212,-0.2951
